,R,L
1833,1,-5
1834,-3,-8
1835,-6,-11
1836,-8,-12
1837,-8,-12
1838,-6,-11
1839,-5,-6
1840,-1,-2
1841,-1,1
1842,2,5
1843,2,5
1844,-1,5
1845,0,3
1846,-2,2
1847,3,2
1848,1,2
1849,3,-2
1850,2,-4
1851,-2,-6
1852,-4,-7
1853,-5,-9
1854,-7,-8
1855,-8,-8
1856,-5,-6
1857,-4,-3
1858,-4,0
1859,0,2
1860,2,4
1861,2,3
1862,1,3
1863,3,4
1864,7,4
1865,8,4
1866,6,3
1867,7,3
1868,4,4
1869,3,5
1870,5,6
1871,6,9
1872,11,10
