,R,L
1181,49,24
1182,109,99
1183,103,149
1184,99,77
1185,77,36
1186,65,60
1187,34,109
1188,49,130
1189,75,56
1190,88,58
1191,72,-7
1192,1,22
1193,-6,-82
1194,-182,-116
1195,-198,-226
1196,-223,-208
1197,-148,-179
1198,-135,-141
1199,-132,-209
1200,-130,-220
1201,-39,-98
1202,-4,24
1203,18,76
1204,23,65
1205,123,124
1206,172,103
1207,179,192
1208,141,153
1209,97,155
1210,78,87
1211,71,102
1212,95,56
1213,27,25
1214,-60,-77
1215,-99,-143
1216,-113,-153
1217,-112,-149
1218,-152,-161
1219,-220,-193
1220,-190,-196
1221,-113,-154
1222,-19,-64
1223,51,-2
1224,106,68
1225,131,152
1226,125,198
1227,129,201
1228,139,194
1229,147,223
1230,73,222
1231,60,110
1232,24,61
1233,8,-2
1234,-30,-23
1235,-87,-77
1236,-140,-127
1237,-126,-171
1238,-150,-178
1239,-163,-234
1240,-196,-235
1241,-122,-202
1242,-121,-166
1243,-64,-141
1244,-26,-65
1245,27,16
1246,101,38
1247,34,143
1248,97,96
1249,64,185
1250,151,131
1251,77,192
1252,115,81
1253,53,124
1254,-11,76
1255,6,44
1256,-48,51
1257,26,-16
1258,10,-33
1259,42,-22
1260,2,32
1261,-22,16
1262,-44,-28
1263,-64,-35
1264,-22,-35
1265,14,-17
1266,50,-10
1267,53,26
1268,83,-14
1269,-7,65
1270,-14,-46
1271,-63,-16
1272,-73,-79
1273,-76,-36
1274,-81,-41
1275,-1,-4
1276,-18,5
1277,-39,-20
1278,-45,-102
1279,-15,-54
1280,24,-74
1281,-14,-71
1282,31,-48
1283,37,-6
1284,108,48
1285,99,67
1286,148,100
1287,107,87
1288,192,150
1289,139,117
1290,190,258
1291,140,213
1292,104,197
1293,76,194
1294,2,111
1295,132,175
1296,42,90
1297,-21,-16
1298,-129,-122
1299,-210,-195
1300,-168,-140
1301,-147,-179
1302,-133,-239
1303,-224,-233
1304,-220,-306
1305,-205,-211
1306,-118,-185
1307,-88,-111
1308,-37,-62
1309,-30,-25
1310,-46,25
1311,80,137
1312,131,207
1313,236,219
1314,116,186
1315,104,170
1316,84,187
1317,164,143
1318,195,143
1319,76,15
1320,-21,-82
1321,-106,-157
1322,-133,-229
1323,-172,-270
1324,-174,-275
1325,-194,-273
1326,-127,-209
1327,-139,-174
1328,-85,-96
1329,-18,-51
1330,23,93
1331,64,89
1332,-2,133
1333,56,112
1334,57,141
1335,29,158
1336,75,155
1337,4,170
1338,19,39
1339,15,50
1340,-5,-45
1341,53,-14
1342,8,20
1343,85,-19
1344,34,-8
1345,65,-42
1346,40,10
1347,82,-22
1348,139,95
1349,155,110
1350,180,164
1351,127,168
1352,109,191
1353,3,112
1354,-67,16
1355,-109,-36
1356,-138,-61
1357,-177,-120
1358,-175,-154
1359,-217,-216
1360,-223,-251
1361,-191,-230
1362,-149,-234
1363,-101,-143
1364,-56,-140
1365,-31,-87
1366,49,-63
1367,127,62
1368,231,219
1369,253,289
1370,297,316
1371,256,309
1372,242,322
1373,122,269
1374,59,178
1375,-10,95
1376,-75,-4
1377,-136,-92
1378,-162,-189
1379,-206,-231
1380,-236,-301
1381,-246,-305
1382,-215,-304
1383,-183,-259
1384,-105,-212
1385,7,-130
1386,22,-18
1387,54,32
1388,66,86
1389,132,154
1390,175,213
1391,199,213
1392,213,263
1393,150,227
1394,103,156
1395,54,96
1396,-6,51
1397,-33,-17
1398,-49,-103
1399,-85,-136
1400,-110,-168
1401,-136,-169
1402,-122,-195
1403,-129,-174
1404,-74,-138
1405,-55,-81
1406,-27,-16
1407,7,28
1408,51,68
1409,41,87
1410,60,101
1411,44,124
1412,82,121
1413,46,121
1414,54,62
1415,13,39
1416,7,-13
1417,-45,-36
1418,-27,-47
1419,-20,-33
1420,-46,-58
1421,-32,-72
1422,-52,-60
1423,-33,-48
1424,-65,-58
1425,-57,-50
1426,-43,-45
1427,-38,-21
1428,-22,-30
1429,-54,-30
1430,-52,-30
1431,-6,12
1432,33,39
1433,65,51
1434,108,64
1435,118,62
1436,107,68
1437,100,61
1438,89,35
1439,67,39
1440,54,57
1441,33,68
1442,42,67
1443,32,64
1444,12,41
1445,-33,9
1446,-56,15
1447,-46,3
1448,-31,9
1449,-34,-24
1450,-43,-17
1451,-46,-58
1452,-43,-36
1453,-14,-43
1454,27,-33
1455,-17,-35
1456,11,-49
1457,8,-13
1458,52,-13
1459,30,29
1460,61,0
1461,28,28
1462,26,37
1463,46,78
1464,34,71
1465,11,43
1466,-3,34
1467,5,27
1468,-22,12
1469,-32,-28
1470,-61,-31
1471,-54,-67
1472,-50,-65
1473,-19,-57
1474,1,-20
1475,11,-32
1476,22,7
1477,42,21
1478,46,25
1479,54,16
1480,29,13
1481,-8,-7
1482,-40,-4
1483,-44,-18
1484,-49,-30
1485,-39,-7
1486,-27,-18
1487,-60,3
1488,-27,-12
1489,-41,-10
1490,-7,-54
1491,-15,-47
1492,-34,-68
1493,-45,-67
1494,-35,-55
1495,-11,-56
1496,-10,-40
1497,3,-9
1498,20,48
1499,62,65
1500,59,52
1501,40,34
1502,6,40
1503,-9,43
1504,-27,29
1505,-31,8
1506,-15,-26
1507,-22,-16
1508,-6,-20
1509,-4,9
1510,20,-3
1511,44,19
1512,56,20
1513,61,41
1514,45,20
1515,22,-5
1516,-35,-29
1517,18,3
1518,28,31
1519,44,48
1520,16,26
1521,-19,-19
1522,-55,-34
1523,-108,-80
1524,-129,-87
1525,-151,-111
1526,-127,-108
1527,-93,-102
1528,-98,-121
1529,-81,-114
1530,-80,-89
1531,-2,-19
1532,41,20
1533,104,65
1534,107,89
1535,113,112
1536,104,96
1537,85,96
1538,125,102
1539,109,137
1540,124,152
1541,50,107
1542,23,74
1543,-4,13
1544,-33,-20
1545,-56,-50
1546,-105,-68
1547,-108,-75
1548,-101,-124
1549,-94,-136
1550,-139,-146
1551,-111,-121
1552,-60,-86
1553,18,-35
1554,43,17
1555,58,36
1556,55,70
1557,58,84
1558,63,70
1559,66,64
1560,65,78
1561,51,59
1562,44,64
1563,45,49
1564,45,68
1565,25,20
1566,-5,18
1567,0,-4
1568,-7,11
1569,7,-13
1570,-30,-5
1571,-22,-46
1572,-47,-61
1573,-5,-46
1574,-1,-23
1575,38,7
1576,4,23
1577,14,24
1578,22,1
1579,8,11
1580,19,1
1581,-28,-24
1582,-45,-52
1583,-54,-56
1584,-10,-32
1585,14,32
1586,33,52
1587,34,70
1588,45,62
1589,69,73
1590,40,86
1591,82,99
1592,27,63
1593,41,24
1594,-13,5
1595,31,6
1596,2,12
1597,-19,-21
1598,-39,-59
1599,-48,-92
1600,-58,-86
1601,-68,-93
1602,-68,-100
1603,-102,-102
1604,-94,-105
1605,-97,-83
1606,-57,-62
1607,-61,-56
1608,-9,-19
1609,3,22
1610,21,37
1611,56,78
1612,59,77
1613,51,76
1614,40,39
1615,66,55
1616,88,44
1617,73,50
1618,66,31
1619,41,47
1620,35,29
1621,19,17
1622,-16,-19
1623,-21,-49
1624,-58,-60
1625,-70,-84
1626,-104,-111
1627,-101,-133
1628,-108,-112
1629,-78,-97
1630,-69,-45
1631,-8,4
1632,-2,32
1633,27,46
1634,9,57
1635,34,69
1636,56,89
1637,111,119
1638,128,131
1639,107,122
1640,80,99
1641,52,40
1642,31,0
1643,16,-10
1644,-9,-22
1645,-44,-55
1646,-89,-83
1647,-92,-111
1648,-93,-132
1649,-117,-111
1650,-95,-106
1651,-90,-66
1652,-47,-63
1653,-35,-23
1654,-10,6
1655,6,26
1656,8,49
1657,47,69
1658,75,88
1659,87,109
1660,79,112
1661,75,86
1662,86,88
1663,76,81
1664,65,52
1665,37,14
1666,-1,-24
1667,-52,-36
1668,-55,-46
1669,-53,-65
1670,-30,-75
1671,-42,-80
1672,-41,-49
1673,-51,-38
1674,-16,-34
1675,-11,-20
1676,28,7
1677,18,8
1678,18,36
1679,16,44
1680,42,63
1681,50,54
1682,36,63
1683,42,43
1684,27,57
1685,18,25
1686,13,0
1687,-31,-36
1688,-47,-36
1689,-86,-64
1690,-65,-79
1691,-55,-78
1692,-30,-59
1693,-15,-55
1694,-47,-38
1695,-42,-36
1696,-25,-16
