,R,L
1827,18,-4
1828,9,3
1829,-2,4
1830,-9,-1
1831,-7,-8
1832,0,-13
1833,6,-13
1834,4,-10
1835,-4,-8
1836,-13,-8
1837,-18,-11
1838,-18,-13
1839,-13,-13
1840,-7,-11
1841,-3,-10
1842,-1,-13
1843,-1,-17
1844,-2,-22
1845,-5,-23
1846,-9,-20
1847,-10,-14
1848,-6,-10
1849,2,-9
1850,11,-10
1851,14,-10
1852,8,-8
1853,-3,-4
1854,-11,0
1855,-10,1
1856,-2,-3
1857,7,-8
1858,8,-13
1859,0,-13
1860,-13,-11
1861,-20,-8
1862,-17,-7
1863,-7,-7
1864,3,-7
1865,8,-6
1866,7,-4
1867,3,-1
1868,-1,-1
1869,-2,-3
1870,0,-6
1871,3,-5
1872,7,-1
1873,14,5
1874,19,9
1875,20,8
1876,15,1
1877,6,-7
1878,-2,-11
1879,-4,-9
